name,hex,basic name
Light Gregorio Garden,#d7d4e4,Light Gray Purple
Light Grey,#d8dcd6,Light Gray Green-Yellow
Light Hindsight,#cdd6ea,Light Gray Blue
Light Hint Of Lavender,#dccfce,Light Gray
Light Hog Bristle,#e5ddcb,Light Gray Amber-Orange
Light Horizon Sky,#d0d2de,Light Gray Blue
Light Iced Aniseed,#d8ded0,Light Gray Chartreuse-Green
Light Iced Lavender,#d0d4e3,Light Gray Blue
Light Imagine,#aed4d8,Light Gray Cyan
Light Incense,#efdcbe,Light Gray Orange
Light Instant,#e2d9d4,Light Gray Orange
Light Issey-San,#dbe4d1,Light Gray Green-Yellow
Light Jellyfish Blue,#acd6db,Light Gray Cyan
Light Katsura,#d6ead8,Light Gray Green
Light Khaki,#998d7c,Gray Amber-Orange
Light Kiri Mist,#d3d2dd,Light Gray Blue
Light Lamb’s Ears,#d6d9cb,Light Gray Chartreuse-Green
Light Lavender,#efc0fe,Bright Magenta
Light Lavender Blush,#e3d2cf,Light Gray Red
Light Lavender Water,#ddd6e7,Light Gray Purple
Light Lichen,#bfb6a9,Light Gray Amber-Orange
Light Ligado,#d9e0d0,Light Gray Green-Yellow
Light Light Blush,#eed2d7,Light Gray Red
Light Light Lichen,#d3e7dc,Light Gray Green
Light Lilac,#dcc6d2,Light Gray Pink
